year,resource,variable,units,magnitude,source,data_value,flag
2013,Wood,Other changes,Dollars,Thousands,Environmental Accounts,9277,R
2013,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9430,R
2014,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,94161,R
2014,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2014,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,89692,R
2014,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,4469,R
2014,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5650,R
2014,Coal,Generation,Gigawatt hours,Actual,MBIE,2012,F
2014,Gas,Generation,Gigawatt hours,Actual,MBIE,7661,R
2014,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2884112,R
2014,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6264,R
2014,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.15,F
2014,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2501124,R
2014,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,382988,R
2014,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,173047,R
2014,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,10678575,R
2014,Hydro,Generation,Gigawatt hours,Actual,MBIE,23194,R
2014,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,R
2014,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9798124,R
2014,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,880452,R
2014,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,640715,R
2014,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2014,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,14780283,R
2014,Renewable,Generation,Gigawatt hours,Actual,MBIE,32103,R
2014,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.77,F
2014,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13410148,R
2014,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1370135,R
2014,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,886817,R
2014,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.77,F
2014,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,3887,R
2014,Solar,Generation,Gigawatt hours,Actual,MBIE,8,R
2014,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,2153,R
